सुभाषितम्	विषयः	भाषा	वक्ता	स्रोतांसि	रस्यता	रसः। भावः	विवरणम्	सङ्केतः	छन्दः	अर्थालङ्काराः	शब्दालङ्काराः	स्मरणीय-पदानि
 क्रोधं प्रभो ! संहर संहरेति यावद्‌गिरः खे मरुतां चरन्ति । तावत्स वह्निर्भवनेत्रजन्मा भस्मावशेषं मदनं चकार ।	काम-दहनम्											
ते वेणुध्वनयोऽधुनापि यमुनाकूले श्रुतेर्गोचरा उन्मीलद्वनमालिकासुरभयो वाता वहन्त्येव ते । वर्णोऽद्यापि न कोऽपि लोचनपथे श्यामेतरो द्योतते नेदानीमपि गान्दिनीसुतरथोद्धूतं रजः शाम्यति ॥	कृष्णः		राजारामज-शङ्करः									
रामो राजमणिः सदा विजयते रामं रामेशं भजे रामेणाभिहता निशाचरचमू रामाय तस्मै नमः। रामान्नास्ति परायणं परतरं रामस्य दासोऽस्म्यहं रामे चित्तलयः सदा भवतु मे भो राम मामुद्धर ॥	रामः											
राजन् कनकवर्षाणि त्वयि सर्वत्र वर्षति अभाग्यछत्रसम्पन्ने मयि नायान्ति बिन्दवः	याचनम्, चाटु											
रथस्यैकं चक्रं भुजगयमिताः सप्त तुरगाः निरालम्बो मार्गश्चरणरहितः सारथिरपि । रविर्गच्छत्यन्तं प्रतिदिनमपारस्य नभसः क्रियासिद्धिः सत्त्वे भवति महतां नोपकरणे ॥ 	पुरुषकारः, उपकरणम्											
रामो नाम बभूव हुं तदबला सीतेति हुं तां पितुर् वाचा पञ्चवटीतटे विहरतस्तस्याहरद्रावणः । निद्रार्थं जननीकथामिति हरे हुंकारतः शृण्वतः सौमित्रे क्व धनुर्धनुर्धनुरिति व्यग्रा गिरः पान्तु वः ||	कृष्णः, रामः, पूर्वजन्म											
रात्रिर् गमिष्यति, भविष्यति सुप्रभातंं, भास्वानुदेष्यति, हसिष्यति पंकजश्रीः। इत्थं विचारयति कोष–गते द्विरेफे, हा! हंत!! हंत!!! नलिनीं गज उज्जहार!	विधि-वैषम्यम्											
रक्तस् त्वं नवपल्लवैर् अहम् अपि श्लाघ्यैः प्रियाया गुणैस् त्वाम् आयान्ति शिलीमुखाः स्मरधनुर्मुक्तास् तथा माम् अपि / कान्तापादतलाहतिस् तव मुदे सत्यं ममा७प्य् आवयोः सर्वं तुल्यम् अशोक केवलम् अहं धात्रा सशोकः कृतः //	प्रिय-वियोगः											
रम्यं हर्म्यतलं न किं वसतये श्रव्यं न गेयादिकं किं वा प्राणसमासमागमसुखं नैवाधिकप्रीतये । किन्तु भ्रान्तपतङ्गपक्षपवनव्यालोलदीपाङ्कुरच्छाया चञ्चलम् आकलय्य सकलं सन्तो वनान्तं गताः । 	लयः, वैराग्यम्											
रात्रिर्गता मतिमतां वर मुञ्च शय्यां धात्रा द्विधैव ननु धूर्जगतो विभक्ता । तामेकतस्तव बिभर्ति गुरुर्विनिद्र- स्तस्या भवानपरधुर्यपदावलम्बी ॥	सुप्रभातम्											
रे रे क्षत्रकुलाधम! -- प्रकटितं ब्राह्मण्यमस्त्रेण ते नन्वेकां रजनीचरीं त्वम् अवधीः -- मता न मे, ताटका । निःक्षत्रं कृतवान् अहं वसुमतीं -- कोऽहं तदा सत्यवाक् ? दृष्टो नैव पराजयो मम पुरा -- अद्यास्ति तद्वैभवम् ! 	रामौ											
रत्नोदारचतुःसहस्ररशनां भुक्त्वा भुवं कौरवो भग्नोरुः पतितः स निष्परिजनो जीवन् वृकैर्भक्षितः । गोपैर् विश्वजयी जितः स विजयः कक्षैः क्षिता वृष्णयः  तस्मात् सर्वमिदं विचार्य सुचिरं शान्त्यै मनो दीयताम् । ।	विधिः, वैराग्यम्											
मयि सर्वाणि कर्माणि संन्यस्याध्यात्मचेतसा | निराशीर्निनर्ममो भूत्वा युध्यस्व विगतज्वर: ||	कर्म-योगः											
धर्म एव हतो हन्ति धर्मो रक्षति रक्षित: । तस्माद् धर्मो न हन्तव्यो मा नो धर्मो हतोऽवधीत् ||	धर्मः											
मुरलि त्वयि निश्श्वासास्त्वयि कालिन्दि नीलिमा । निकुञ्ज त्वयि पादाङ्का अस्मासु स्मृतयो हरेः ॥	कृष्णः		राजारामज-शङ्करः									
उभयत्रापि तेष्वेव सत्सु वर्णेषु पश्यत । वाक्यं विन्यासवैचित्र्यात्काव्यमित्यभिधीयते ॥	कृष्णः		राजारामज-शङ्करः									
इमां त्वमिन्द्र मीढ्वः सुपुत्रां सुभगां कृणु । दशास्यां पुत्राना धेहि पतिमेकादशं कृधि॥	मातृत्वम्, 											
शारदा शारदाम्भोज- वदना वदनाम्बुजे । सर्वदा सर्वदाऽस्माकं सन्निधिं सन्निधिं क्रियात् ।।	सरस्वती											
धातुश्चतुर्मुखीकण्ठ- शृङ्गाटकविहारिणीम् । नित्यप्रगल्भवाचाला- मुपतिष्ठे सरस्वतीम्।।	सरस्वती											
अपूर्व:कोऽपि कोशोऽयं विद्यते तव भारति। व्ययतो वृद्धिमायाति क्षयमायाति सञ्चयात् ।। 	शिक्षणम्, विद्या-प्रयोगः, विद्या											
यज्ञार्थात्कर्मणोऽन्यत्र लोकोऽयं कर्मबन्धन: | तदर्थं कर्म कौन्तेय मुक्तसङ्ग: समाचर ॥	धर्मः, कर्म-पावित्र्यम्											
येन विना न जीव्यत अनुनीयते स कृतापराधोऽपि। प्राप्तेऽपि नगरदाहे भण कस्य न वल्लभोऽग्निः ॥	अग्निः	संकृतम्										
अद्यापि नोज्झति हरः किल कालकूटं कूर्मो बिभर्ति धरणीं खलु पृष्टभागे ।         अम्भोनिधिर् वहति दुःसहवाडवाग्निम् अङ्गीकृतं सुकृतिनः परिपालयन्ति ॥ 	अङ्गीकृतकारी	संकृतम्										
एकोऽहमसहायोऽहं कृशोऽहमपरिच्छद: । स्वप्नेऽप्येवंविधा चिन्तां मृगेन्द्रस्य न जायते  ॥	अदीनता											
यद्वक्त्रं मुहुरीक्षसे न धनिनां ब्रूषे न चाटुं मृषा नैषां गर्वगिरः शृणोषि न पुनः प्रत्याशया धावसि । काले बालतृणानि खादसि सुखं निद्रासि निद्रागमे तन्मे ब्रूहि कुरङ्ग कुत्र भवता किं नाम तप्तं तपः ॥२२०८॥ 	अदैन्यम्	संकृतम्	सिल्हणस्य									
अधिकाराभिषेकेषु मृदङ्गवचनं शृणु। बद्धा दण्डहता रिक्ता भविष्यसि यथा वयम्॥ 	अधिकारः, सेवकः	संकृतम्										
आदित्यस्योदयं तात ताम्बूलं भारती कथा । इष्टा भार्या सुमित्रं च अपूर्वाणि दिने दिने ॥	अपूर्वकथा	संकृतम्										
अनुष्ठानेन रहिता पाठमात्रेण केवलम् । रञ्जयत्येव या लोकान् किं तया शुकविद्यया? । ।	अप्रयुक्ता विद्या	संकृतम्	क्षेमेन्द्रः	दर्पदलनम्?								
यद् वक्त्रं मुहुर् ईक्षसे न धनिनां ब्रूषे न चाटून् मृषा नैषां गर्व-गिरः श्रुणोषि न च तान् प्रत्याशया धावसि । काले बाल-तृणानि खादसि परं निद्रासि निद्रागमे तन्मे ब्रूहि कुरङ्ग कुत्र भवता किं नाम तप्तं तपः ॥	अयाचकता	संकृतम्										
आबद्धकृत्रिमसटाजटिलांसभित्तिर् आरोपितो मृगपतेः पदवीं यदि श्वा मत्तेभकुम्भतटपाटनलम्पटस्य नादं करिष्यति कथं हरिणाधिपस्य । ।	अयोग्य-नियोगः	संकृतम्										
दानं भोगो नाशस्तिस्रो गतयो भवन्ति वित्तस्य। यो न ददाति न भुङ्क्ते तस्य तृतीया गतिर्भवति॥ 	अर्थ-विनियोगः, वित्तम्, लोभः, सङ्ग्रहणम्	संकृतम्										
सिंहनक्रगजभल्लपन्नगाः सन्दशन्तु बलिनो न दुःखदाः। किन्तु मां व्यथयते पिपीलिका चाण्डकोशतलमध्यदंशिनी॥  	अल्प-शत्रुः	संकृतम्										
अश्व: शस्त्रं शास्त्रं वीणा वाणी नरश्च नारी च । पुरुषविशेषं प्राप्ता भवन्त्ययोग्याश्च योग्याश्च ।। पञ्चतन्त्रे मित्रभेदे ।	असारग्राहिता, शास्त्रम्	संकृतम्										
यस्य नास्ति स्वयं प्रज्ञा शास्त्रं तस्य करोति किम् । लोचनाभ्यां विहीनस्य दर्पणः किं करिष्यति ॥	असारग्राहिता, शास्त्रम्	संकृतम्										
यस्य नास्ति विवेकस्तु केवलं यो बहुश्रुतः। न स जानाति शास्त्रार्थान् दर्वी पाकरसानिव॥	असारग्राहिता, शास्त्रम्	संकृतम्										
यथा खरश्चन्दनभारवाही भारस्य वेत्ता न तु चन्दनस्य। एवं हि शास्त्राणि बहून्यधीत्य अर्थेषु मूढाः खरवद् वहन्ति ॥	असारग्राहिता, अप्रयुक्तज्ञानम्	संकृतम्										
योऽम्भस्तातस्य कूपोऽयमिति कौपं पिबेत्कटु । त्यक्त्वा गाङ्गं पुरःस्थं तं कोऽनुशासति रागिणम् ॥२,१८.४ ॥	असारग्राहिता, उक्ति-प्रामाण्यम्	संकृतम्		योगवासिष्ठम्								
तद् ब्रह्माण्डम् इह क्वचित् क्वचिद् अपि क्षोणी क्वचिन् नीरदास् ते द्वीपान्तरमालिनो जलधयः क्वापि क्वचिद् भूभृतः । आश्चर्यं गगनस्य को ऽपि महिमा सर्वैर् अमीभिः स्थितैर् दूरे पूरणम् अस्य शून्यम् इति यन् नामापि नाछादितम् 	आकाशः	संकृतम्										
आङ्ग्लभाषा क्रिकेट्क्रीडा द्वयमेतन्न मे मुदे । सहे कथञ्चित् प्रथमं परस्मै दूरतो नमः ॥ 	आङ्ग्ल-भाषा, क्रिकेट्	संकृतम्	राजारामज-शङ्करः									
परोपदेशसमये सर्वे व्यासपराशराः। स्वानुष्ठानसमये तु मुनयोऽपि न पण्डिताः॥	आचारः, उपदेशः 	संकृतम्										
ध्यानपूजादिकं लोके द्रष्टर्येव करोति यः।पारमार्थिकधीहीनः स दम्भाचार उच्यते॥	आचारः, दम्भः 	संकृतम्										
 श्रमणः श्रावकवध्वाः सुरतविधौ दशति नाधरं दत्तम्। मदिराक्षि मांसभक्षणमस्मत्समये निषिद्धमिति॥	आचारः, दम्भः, श्रमणः	संकृतम्										
नारायणस्य शय्यायां भोजनं स्यात्तु नोचितम्  कथं साधु तदीयादिजन्मभक्षणमेव हा  	आचारजडता	संकृतम्					वटपत्राशन-खण्डनस्य कालिङ्गकृतस्य्ओत्तरम्					
 चत्वारोऽम्बुधयस्तरङ्गमुखरास्ते ते कुलक्ष्माभृत- स्ताराशेखरितास्त्रिलोकमहिता गङ्गादयो निम्नगाः । भाषावेषविशेषिता दिशि दिशि ज्ञातास्त्वया नीवृतो  यस्त्वात्मा चरमे क्षणेऽपि स भवत्येकान्तवैदेशिकः ॥	आत्मज्ञानम्	संकृतम्	राजारामज-शङ्करः									
 नीतिज्ञा नियतिज्ञा वेदज्ञा अपि भवन्ति शास्त्रज्ञाः ब्रह्मज्ञा अपि लभ्याः स्वाज्ञानज्ञानिनो विरलाः ॥ 	आत्मज्ञानम्	संकृतम्										
आशा नाम मनुष्याणां काचिदाश्चर्यशृंखला।  यया बद्धा प्रधावन्ति मुक्तास्तिष्ठन्ति पंगुवत्॥	आशा	संकृतम्										
खलालापाः सोढाः कथमपि तदाराधनपरैः निगृह्यान्तर्बाष्पं हसितमपि शून्येन मनसा।  कृतो वित्तस्तम्भप्रतिहतधियामञ्जलिरपि त्वमाशे मोघाशे किमपरमतो नर्तयसि माम्।।  	आशा	संकृतम्										
 रे रे चातक ! सावधानमनसा मित्र क्षणं श्रूयतां अम्भोदा बहवो वसन्ति गगने सर्वेऽपि नैकादृशाः । केचित् वृष्टिभिरार्द्रयन्ति धरणीं गर्जन्ति केचिद्वृथा यं यं पश्यसि तस्य तस्य पुरतो मा ब्रूहि दीनं वचः ॥	इच्छापूर्तिः, पात्रता, प्रार्थना											
आत्मानं रथिनं विद्धि मनः प्रग्रहमेव च ।  इन्द्रियाणि हयानाहुः विषयांस्तेषु गोचरम् ।  आत्मेन्द्रियमनोयुक्तं भोक्तेत्याहुर्मनीषिणः ।  यस्त्वविज्ञानवान्भवत्ययुक्तेन मनसा सदा । तस्येन्द्रियाण्यवश्यानि दुष्टाश्वा इव सारथेः॥५॥ यस्तु विज्ञानवान्भवति युक्तेन मनसा सदा । तस्येन्द्रियाणि वश्यानि सदश्वा इव सारथेः॥	दमः	संकृतम्		कठोपनिषत्								
अपि पौरुषमादेयं शास्त्रं चेद्युक्तिबोधकं। अन्यत्त्वार्षमपि त्याज्यं भाव्यं न्यायैकसेविना॥	प्रमाणम्, शास्त्रम्	संकृतम्		इति योगवासिष्ठम् 2.18.2 श्रुत्युपेक्षौचित्यं कदाचिद्बोधयन्ती।								
युक्तियुक्तमुपादेयं वचनं बालकादपि । अन्यत्तृणवत्त्याज्यं अप्युक्तं पद्मजन्मना॥	प्रमाणम्	संकृतम्										
युक्तियुक्तं वचो ग्राह्यं बालादपि शुकादपि। युक्तिहीनं वचस् त्याज्यं वृद्धादपि शुकादपि॥	प्रमाणम्	संकृतम्		प्रबंधचिन्तामणि								
द्रष्टव्यो राजपुरुषः स्मर्तव्यो वा रमापतिः ।  यद्यस्ति हृदये भ्रातर्नरकाद्दारुणाद्भयम् ॥ 	उत्कोचः, राजपुरुषः	संकृतम्	राजारामज-शङ्करः									
अस्य दग्धोदरस्यार्थे किं न कुर्वन्ति पण्डिताः । वानरीमिव वाग्देवीं नर्तयन्ति गृहे गृहे ॥	उदरपूरणम्, दास्यम्, कुपाण्डित्यम्	संकृतम्										
आश्चर्यं वडवानलः स भगवान् आश्चर्यम् अम्भोनिधिर् यत् कर्मातिशयं विचिन्त्य हृदये कम्पः समुत्पद्यते । एकस्या८श्रयघस्मरस्य पिबतस् तृप्तिर् न जाता जलैर् अन्यस्या७पि महात्मनो न वपुषि स्वल्पो ऽपि तोयव्ययः 	उपकर्ता, उपकार-शक्तिः	संकृतम्	केशटः									
चाप: स्वभावसरलं विक्षिपति शरं गुणेऽपि पतन्तम्। वक्रस्य ऋजुकस्य च सम्बन्ध: किं चिरं भवति।। 	ऋजुता	संकृतम्										
अनित्त्यानि शरीराणि वैभवं नैव शाश्वतम् । नित्यः सन्निहितो मृत्यु: कर्तव्यो धर्मसङ्ग्रहः।।	ऋजुता	संकृतम्										
रोदिति वर्षाकालः स्विद्यति घर्मः शरद्गता पाण्डुरताम् ।  दृष्ट्वा वसन्तशोभां कम्पमुपेतौ च शिशिरहेमन्तौ ॥	ऋतवः	संकृतम्	गणेशभट्टः									
नमस्यामो देवान्ननु हतविधेस्तेऽपि वशगा विधिर्वन्द्यः सोऽपि प्रतिनियतकर्मैकफलदः। फलं कर्मायत्तं यदि किममरैः किं च विधिना नमस्तत्कर्मभ्यो विधिरपि न येभ्यः प्रभवति ।। 	कर्म	संकृतम्										
वयं नो ते विप्राः प्रतिदिवसमासाद्य कृपणान् धनं ये याचन्ते प्रतिगणितनक्षत्रतिथयः । वयं कार्णाटीनां कुचकलशपाटीररचना- विलोलव्यासङ्गोल्लसितमतयः केऽपि कवयः ।।	कविः	संकृतम्	जगन्नाथः									
जयन्ति ते सुकृतिनो रससिद्धाः कवीश्वराः । नास्ति येषां यशः काये जरामरणजं भयम् ॥	कविः	संकृतम्										
जीवन्ति पीतसाराः किं लेखन्यां भ्रमरास्तव । मषी प्रतीक्षिता यत्र स्रवत्येव सुधामृतम् ॥	कविः	संकृतम्	Jayanand Vijayan				मषी - अलीनां कालिमा					
उपमा कालिदासस्य भारवेरर्थगौरवम् । दण्डिनः पदलालित्यं माघे सन्ति त्रयो गुणाः॥ 	कविः											
न लेखन्यां न वा पृष्ठे न यन्त्रे माति नापणे । या त्रिलोक्यन्तविश्रान्तिसमर्था कवितोर्जिता ॥	कविः, 	संकृतम्	बलरामः									
कविता क्रियते नैव जातु, सा तु प्रतीक्ष्यते ।  नियोज्या जायते नैव प्रतिपाल्या प्रियागतिः ॥ 	कविः, 	संकृतम्	बलरामः									
न कीर्तिर्नो वित्तं भवति मम काचिन्न पदवी  परायत्ता यात्रा प्रतिपदमहो जीवितमयी ।  अमीषां दोषाणां कमिव गुणमालोक्य कविते  हठाच्चुम्बन्ती मद्वदनमधुनाप्युज्झसि न माम् ॥	कविः, दारिद्र्यम्	संकृतम्	राजारामज-शङ्करः									
अलङ्कारा दूरं सरत रस शोषं वितनुषे ध्वने कस्त्वां श्रोता गुण विगुणतां यासि तरसा । इदानीं वाग्देवीचरमपदमुर्वीपरिसरे विरोधात्प्राणानां भवति निभृतः शङ्करकविः ॥	कविः, मृत्युः	संकृतम्	राजारामज-शङ्करः									
भूयो दर्शयते माद्यन् भूयः पश्यति चुम्बति । कविर्हृष्टो नवोत्पन्नां कवितां पुत्रिकामिव ॥ 	कविः, रसिकः	संकृतम्	बलरामः									
तिष्ठति गृह एव सदा सहते न जनस्य दृष्टिपातमपि । दुर्गतकवयितुरुक्तिस्तेन सह पतिव्रतेव भजति चिताम् ॥	कविः, रसिकः	संकृतम्	राजारामज-शङ्करः									
स जयति कविजन एको रसिकानन्दाश्रुसन्ततार्द्राणि । दुर्जनमात्सर्यशिखी स्पृशति न यस्याक्षराणि मनाक् ॥	कविः, रसिकः, मात्सर्यम्	संकृतम्										
निद्रां विदूरयसि शास्त्ररसं रुणत्सि सर्वेन्द्रियार्थमसमर्थविधिं विधत्से ।  चेतश्च विभ्रमयसे कविते पिशाचि लोकस्तथापि सुकृती त्वदनुग्रहेण ॥ 	कविता, कविः, निद्रा											
इदम् इह पदं मा भूद् एवं भवत्व् इदम् अन्यथा  कृतम् इदम् अयं ग्रन्थेनार्थो महान् उपपादितः  इति मनसि यः काव्यारम्भे कवेर् भवति श्रमः  सनयनजलो रोमोद्भेदः सतां तम् अपोहति 	कवित्वम्	संकृतम्										
मुक्तके कवयो'नन्ताः प्रबन्धे कावयः शतम्  कविरेको महाकाव्ये द्वौ वा दुर्लभास्त्रायः 	कवित्वम्	संकृतम्	राजशेखरः									
एकस्य तिष्ठति कवेर्गृह एव काव्यमन्यस्यर्च्छति सुहृद्भवनानि यावत्। न्यस्याविदग्धवदनेषु पदानि शश्वत् कस्यापि सञ्चरति विश्वकुतूहलीव॥	कवित्वम्	संकृतम्										
कवयः कालिदासाद्याः कवयो वयम् अप्य् अमी । पर्वते परमाणौ च वस्तुत्वम् उभयोर् अपि ।	कवित्वम्	संकृतम्										
सन्त्वश्वाः सन्तु मातङ्गाः सन्तु योधाः सहस्रशः  नरेन्द्राणां विशेषेण न विना कविना यशः 	कवित्वम्	संकृतम्										
तया कवितया किं वा किं वा वनितया तया ।  पदविन्यासमात्रेन मनो नापहृतं यया ? । ।	कवित्वम्	संकृतम्										
सूक्तिर्नवीनकन्यान्या प्रौढस्यापि कवेर्मनः। लोभयन्ती बहोः कालाद् हस्तसान्नैव जायते॥	कवित्वम्	संकृतम्	बलरामः									
उदन्वच्छिन्ना भूः स च निधिरपां योजनशतं सदा पान्थः पूषा गगनपरिमाणं कलयति ।  इति प्रायो भावाः स्फुरदवनिमुद्रामुकुलिताः सतां प्रज्ञोन्मेषः पुनरयमसीमा विजयते ॥	कवित्वम्, प्राज्ञता	संकृतम्					भावाः - भूतानि					
तिमिरारिस्तमो हन्ति तेन शङ्कितमानसाः। वयं काका वयं काका रटन्तीति प्रगे द्विकाः॥	काकः, सूर्योदयः											
अनुरागवती संध्या दिवसस्तत्पुरस्सरः । अहो दैवगतिश्चित्रा पथापि न समागमः ॥ 	काम-वैफल्यम्	संकृतम्										
क्व प्रस्थितासि करभोरु घने निशीथे प्राणाधिको वसति यत्र जनः प्रियो मे । एकाकिनी वद कथं न बिभेषि बाले नन्वस्ति पुङ्खितशरो मदनः सहायः ॥	कामः	संकृतम्										
कालिदास कविता नवं वय:  माहिषं दधि सशर्करं पय:।  एणमांसमबला सुकोमला  संभवन्तु मम जन्म-जन्मनि।। 	कामः	संकृतम्										
